Renderer: default | Parent: JERRY.PSDout | Material: JerryMaterial
Renderer: Cheese | Parent: None | Material: 01 - Default.003
Renderer: FirstPersonController | Parent: None | Material: Default-Material
Renderer: Wall (11) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (36) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (3) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (41) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (28) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (61) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (42) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (19) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: updown box 1 | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (38) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (16) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (25) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (17) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (58) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Ground | Parent: None | Material: laminate_floor_02_diff_4k
Renderer: Wall (26) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (1) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (15) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (12) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (18) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: moving wall 3 | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: updown box 2 | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (55) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (8) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (30) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (50) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (5) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (31) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (39) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: moving wall 1 | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (62) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (24) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (7) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (46) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (43) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: moving wall 4 | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (65) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (59) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (37) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (10) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (14) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (20) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (29) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (45) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (21) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (27) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (40) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (51) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (35) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (56) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (54) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (34) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (2) | Parent: Walls | Material: wood_table_worn_diff_4k
Renderer: Wall (22) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (48) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (32) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (6) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (23) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (52) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (4) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (53) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Capsule | Parent: FirstPersonController | Material: Default-Material
Renderer: Wall (44) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: updown box 3 | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (9) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (33) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (60) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (13) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: Wall (64) | Parent: Walls | Material: medieval_blocks_03_diff_4k
Renderer: moving wall 2 | Parent: Walls | Material: medieval_blocks_03_diff_4k
